n,d,flops,materialized_bytes,tiled_bytes,compute_s,materialized_io_s,tiled_io_s,materialized_s,tiled_s,materialized_workspace_bytes,tiled_workspace_bytes
512,64,67108864,2359296,393216.0,9.320675555555555e-07,3.0247384615384615e-06,5.04123076923077e-07,3.302473846153846e-05,3.093206755555556e-05,1048576,270336
1024,64,268435456,8912896,1048576.0,3.728270222222222e-06,1.1426789743589743e-05,1.3443282051282051e-06,4.1426789743589744e-05,3.372827022222222e-05,4194304,409600
2048,64,1073741824,34603008,3145728.0,1.4913080888888889e-05,4.436283076923077e-05,4.032984615384616e-06,7.436283076923077e-05,4.491308088888889e-05,16777216,688128
4096,64,4294967296,136314880,10485760.0,5.9652323555555555e-05,0.00017476266666666666,1.3443282051282051e-05,0.00020476266666666666,8.965232355555556e-05,67108864,1245184
8192,64,17179869184,541065216,37748736.0,0.00023860929422222222,0.0006936733538461539,4.8395815384615384e-05,0.0007236733538461539,0.0002686092942222222,268435456,2359296
16384,64,68719476736,2155872256,142606336.0,0.0009544371768888889,0.0027639387897435896,0.0001828286358974359,0.0027939387897435897,0.0009844371768888889,1073741824,4587520
32768,64,274877906944,8606711808,553648128.0,0.0038177487075555555,0.011034245907692308,0.0007098052923076924,0.011064245907692309,0.0038477487075555556,4294967296,9043968
512,128,134217728,2621440,655360.0,1.864135111111111e-06,3.3608205128205127e-06,8.402051282051282e-07,3.3360820512820515e-05,3.186413511111111e-05,1048576,401408
1024,128,536870912,9437184,1572864.0,7.456540444444444e-06,1.2098953846153846e-05,2.016492307692308e-06,4.2098953846153845e-05,3.745654044444445e-05,4194304,671744
2048,128,2147483648,35651584,4194304.0,2.9826161777777778e-05,4.5707158974358974e-05,5.3773128205128205e-06,7.570715897435897e-05,5.982616177777778e-05,16777216,1212416
4096,128,8589934592,138412032,12582912.0,0.00011930464711111111,0.0001774513230769231,1.6131938461538462e-05,0.0002074513230769231,0.00014930464711111112,67108864,2293760
8192,128,34359738368,545259520,41943040.0,0.00047721858844444444,0.0006990506666666666,5.3773128205128203e-05,0.0007290506666666666,0.0005072185884444445,268435456,4456448
16384,128,137438953472,2164260864,150994944.0,0.0019088743537777778,0.0027746934153846155,0.00019358326153846154,0.0028046934153846156,0.0019388743537777778,1073741824,8781824
32768,128,549755813888,8623489024,570425344.0,0.007635497415111111,0.011055755158974358,0.0007313145435897436,0.011085755158974359,0.007665497415111111,4294967296,17432576
512,256,268435456,3145728,1179648.0,3.728270222222222e-06,4.032984615384616e-06,1.5123692307692307e-06,3.4032984615384616e-05,3.372827022222222e-05,1048576,663552
1024,256,1073741824,10485760,2621440.0,1.4913080888888889e-05,1.3443282051282051e-05,3.3608205128205127e-06,4.491308088888889e-05,4.491308088888889e-05,4194304,1196032
2048,256,4294967296,37748736,6291456.0,5.9652323555555555e-05,4.8395815384615384e-05,8.065969230769231e-06,8.965232355555556e-05,8.965232355555556e-05,16777216,2260992
4096,256,17179869184,142606336,16777216.0,0.00023860929422222222,0.0001828286358974359,2.1509251282051282e-05,0.0002686092942222222,0.0002686092942222222,67108864,4390912
8192,256,68719476736,553648128,50331648.0,0.0009544371768888889,0.0007098052923076924,6.452775384615385e-05,0.0009844371768888889,0.0009844371768888889,268435456,8650752
16384,256,274877906944,2181038080,167772160.0,0.0038177487075555555,0.0027962026666666666,0.00021509251282051281,0.0038477487075555556,0.0038477487075555556,1073741824,17170432
32768,256,1099511627776,8657043456,603979776.0,0.015270994830222222,0.011098773661538462,0.0007743330461538461,0.015300994830222223,0.015300994830222223,4294967296,34209792
